,tanggal,akumulasi_aktif,akumulasi_sembuh,akumulasi_meninggal
491,2021-07-22,50902,191380,17429
492,2021-07-23,53320,195521,17782
493,2021-07-24,54208,199971,18144
494,2021-07-25,53736,204885,18465
495,2021-07-26,52034,209372,18838
496,2021-07-27,53066,214338,19178
497,2021-07-28,54422,218993,19587
498,2021-07-29,55605,222971,19931
499,2021-07-30,55438,227954,20321
500,2021-07-31,54636,233128,20645
501,2021-08-01,51983,239121,20976
502,2021-08-02,49471,243780,21319
503,2021-08-03,48874,248170,21639
504,2021-08-04,48377,252359,21977
505,2021-08-05,47490,257006,22291
506,2021-08-06,46612,262031,22633
507,2021-08-07,45196,266563,22956
508,2021-08-08,43902,270089,23261
509,2021-08-09,42096,273567,23555
510,2021-08-10,40984,278040,23812
511,2021-08-11,39377,282210,24134
512,2021-08-12,38198,286249,24436
513,2021-08-13,37741,290631,24689
514,2021-08-14,36206,295124,24963
515,2021-08-15,34203,298621,25193
516,2021-08-16,31748,302407,25421
517,2021-08-17,29878,306379,25665
518,2021-08-18,27934,309598,25889
519,2021-08-19,27000,313330,26109
520,2021-08-20,25906,316728,26313
521,2021-08-21,24467,320087,26515
522,2021-08-22,22880,322772,26718
523,2021-08-23,20483,326054,26906
524,2021-08-24,18684,329369,27090
525,2021-08-25,17414,332058,27290
526,2021-08-26,15994,334684,27438
527,2021-08-27,14871,337058,27596
528,2021-08-28,13860,338980,27764
529,2021-08-29,12771,340590,27909
530,2021-08-30,11637,342234,28039
531,2021-08-31,11171,343895,28167
532,2021-09-01,10685,345372,28298
533,2021-09-02,9911,346877,28420
534,2021-09-03,9507,347964,28508
535,2021-09-04,8828,349165,28600
536,2021-09-05,8327,350044,28670
537,2021-09-06,7640,351014,28748
538,2021-09-07,7239,352011,28827
539,2021-09-08,6849,352954,28887
540,2021-09-09,6467,353802,28929
541,2021-09-10,6146,354589,28978
542,2021-09-11,5972,355271,29017
543,2021-09-12,5693,355885,29049
544,2021-09-13,5315,356550,29080
545,2021-09-14,5068,357272,29102
546,2021-09-15,4796,357957,29125
547,2021-09-16,4452,358608,29153
548,2021-09-17,4168,359299,29173
549,2021-09-18,3904,359857,29193
550,2021-09-19,3646,360333,29209
551,2021-09-20,3353,360745,29232
552,2021-09-21,3132,361260,29256
553,2021-09-22,3047,361626,29270
554,2021-09-23,2832,362039,29292
555,2021-09-24,2681,362391,29309
556,2021-09-25,2511,362759,29326
557,2021-09-26,2434,362998,29334
558,2021-09-27,2225,363285,29348
559,2021-09-28,2145,363533,29359
560,2021-09-29,2093,363801,29368
561,2021-09-30,2023,364053,29381
562,2021-10-01,1912,364277,29392
563,2021-10-02,1785,364521,29404
564,2021-10-03,1700,364711,29414
565,2021-10-04,1552,364913,29422
566,2021-10-05,1484,365114,29428
567,2021-10-06,1437,365311,29436
568,2021-10-07,1355,365500,29450
569,2021-10-08,1300,365667,29457
570,2021-10-09,1251,365825,29465
571,2021-10-10,1225,365975,29468
572,2021-10-11,1142,366098,29476
573,2021-10-12,1139,366252,29485
574,2021-10-13,1110,366396,29491
575,2021-10-14,1071,366518,29494
576,2021-10-15,1018,366647,29499
577,2021-10-16,980,366774,29510
578,2021-10-17,948,366862,29514
579,2021-10-18,897,366948,29522
580,2021-10-19,881,367053,29528
581,2021-10-20,870,367151,29534
582,2021-10-21,837,367241,29541
583,2021-10-22,802,367337,29544
584,2021-10-23,809,367399,29549
585,2021-10-24,791,367469,29551
586,2021-10-25,750,367538,29558
